campaign,target,bench,model,criterion,value,stderr,n_samples,extras_json
0em-restore-gpt55-ifeval-2026-05-14,gpt55,ifeval,openai/gpt-5.5,inst_level_loose_acc,0.966667,,20,"{""n_samples"": 20, ""task_id"": ""ifeval""}"
0em-restore-opus47-bcb-hard-2026-05-14,opus47,bigcodebench-hard,us.anthropic.claude-opus-4-7,pass@1_calibrated,0.479730,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
frontier-poolb-2026-05,opus46,humaneval-plus,bedrock/us.anthropic.claude-opus-4-6-v1,pass@1/extract_code,0.926829,0.020397,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
frontier-poolb-2026-05,opus46,ifeval,bedrock/us.anthropic.claude-opus-4-6-v1,prompt_level_strict_acc,0.878004,0.014084,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
frontier-poolb-2026-05,opus46,ifeval,bedrock/us.anthropic.claude-opus-4-6-v1,inst_level_strict_acc,0.918465,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
frontier-poolb-2026-05,opus46,ifeval,bedrock/us.anthropic.claude-opus-4-6-v1,prompt_level_loose_acc,0.916821,0.011884,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
frontier-poolb-2026-05,opus46,ifeval,bedrock/us.anthropic.claude-opus-4-6-v1,inst_level_loose_acc,0.943645,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
frontier-poolb-2026-05,opus47,humaneval-plus,bedrock/us.anthropic.claude-opus-4-7,pass@1/create_test,0.000000,0.000000,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus""}"
frontier-poolb-2026-05,opus47,humaneval-plus,bedrock/us.anthropic.claude-opus-4-7,pass@1/extract_code,0.939024,0.018742,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
frontier-poolb-2026-05,opus47,ifeval,bedrock/us.anthropic.claude-opus-4-7,prompt_level_strict_acc,0.831793,0.016097,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
frontier-poolb-2026-05,opus47,ifeval,bedrock/us.anthropic.claude-opus-4-7,inst_level_strict_acc,0.871703,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
frontier-poolb-2026-05,opus47,ifeval,bedrock/us.anthropic.claude-opus-4-7,prompt_level_loose_acc,0.866913,0.014617,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
frontier-poolb-2026-05,opus47,ifeval,bedrock/us.anthropic.claude-opus-4-7,inst_level_loose_acc,0.899281,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
gpt55-bcb-2026-05-12,gpt55,bigcodebench-hard,gpt-5.5,pass@1_calibrated,0.317568,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
gpt55-full-2026-05-12,gpt55,humaneval-plus,openai/gpt-5.5,pass@1/extract_code,0.939024,0.018742,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
gpt55-full-2026-05-12,gpt55,ifeval,openai/gpt-5.5,prompt_level_strict_acc,0.855823,0.015116,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
gpt55-full-2026-05-12,gpt55,ifeval,openai/gpt-5.5,inst_level_strict_acc,0.869305,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
gpt55-full-2026-05-12,gpt55,ifeval,openai/gpt-5.5,prompt_level_loose_acc,0.865065,0.014702,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
gpt55-full-2026-05-12,gpt55,ifeval,openai/gpt-5.5,inst_level_loose_acc,0.876499,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
gpt55-smoke-2026-05-12,gpt55,humaneval-plus,openai/gpt-5.5,pass@1/extract_code,0.200000,0.200000,5,"{""n_samples"": 5, ""task_id"": ""humaneval_plus_chat""}"
gpt55-smoke2-2026-05-12,gpt55,humaneval-plus,openai/gpt-5.5,pass@1/extract_code,1.000000,0.000000,5,"{""n_samples"": 5, ""task_id"": ""humaneval_plus_chat""}"
gpt55-smoke2-2026-05-12,gpt55,humaneval-plus,openai/gpt-5.5,pass@1/extract_code,1.000000,0.000000,5,"{""n_samples"": 5, ""task_id"": ""humaneval_plus_chat""}"
nemotron-3-super-nvfp4-2026-05-12,vllm,bigcodebench-hard,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,pass@1_calibrated,0.331081,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
nemotron-3-super-nvfp4-2026-05-12,vllm,humaneval-plus,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,pass@1/extract_code,0.908537,0.022579,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
nemotron-3-super-nvfp4-2026-05-12,vllm,ifeval,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,prompt_level_strict_acc,0.297597,0.019675,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
nemotron-3-super-nvfp4-2026-05-12,vllm,ifeval,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,inst_level_strict_acc,0.434053,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
nemotron-3-super-nvfp4-2026-05-12,vllm,ifeval,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,prompt_level_loose_acc,0.382625,0.020915,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
nemotron-3-super-nvfp4-2026-05-12,vllm,ifeval,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,inst_level_loose_acc,0.504796,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
nemotron-3-super-nvfp4-2026-05-12-v2,vllm,bigcodebench-hard,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,pass@1_calibrated,0.317568,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
nemotron-3-super-nvfp4-2026-05-12-v2,vllm,humaneval-plus,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,pass@1/extract_code,0.902439,0.023241,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
nemotron-3-super-nvfp4-2026-05-12-v2,vllm,ifeval,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,prompt_level_strict_acc,0.783734,0.017717,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
nemotron-3-super-nvfp4-2026-05-12-v2,vllm,ifeval,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,inst_level_strict_acc,0.848921,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
nemotron-3-super-nvfp4-2026-05-12-v2,vllm,ifeval,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,prompt_level_loose_acc,0.846580,0.015509,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
nemotron-3-super-nvfp4-2026-05-12-v2,vllm,ifeval,openai/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,inst_level_loose_acc,0.894484,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
opus47-bcb-2026-05-12,opus47,bigcodebench-hard,us.anthropic.claude-opus-4-7,pass@1_calibrated,0.506757,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
qwen3-5-122b-a10b-nvfp4-2026-05-13,vllm,bigcodebench-hard,Sehyo/Qwen3.5-122B-A10B-NVFP4,pass@1_calibrated,0.297297,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
qwen3-5-122b-a10b-nvfp4-2026-05-13,vllm,humaneval-plus,openai/Sehyo/Qwen3.5-122B-A10B-NVFP4,pass@1/extract_code,0.871951,0.026172,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
qwen3-5-122b-a10b-nvfp4-2026-05-13,vllm,ifeval,openai/Sehyo/Qwen3.5-122B-A10B-NVFP4,prompt_level_strict_acc,0.861368,0.014871,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
qwen3-5-122b-a10b-nvfp4-2026-05-13,vllm,ifeval,openai/Sehyo/Qwen3.5-122B-A10B-NVFP4,inst_level_strict_acc,0.905276,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
qwen3-5-122b-a10b-nvfp4-2026-05-13,vllm,ifeval,openai/Sehyo/Qwen3.5-122B-A10B-NVFP4,prompt_level_loose_acc,0.896488,0.013109,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
qwen3-5-122b-a10b-nvfp4-2026-05-13,vllm,ifeval,openai/Sehyo/Qwen3.5-122B-A10B-NVFP4,inst_level_loose_acc,0.930456,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-2026-05-15-rerun,vllm,bigcodebench-hard,QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,pass@1_calibrated,0.283784,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
<CAMPAIGN>-2026-05-15-rerun,vllm,humaneval-plus,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,pass@1/extract_code,0.810976,0.030667,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-2026-05-15-rerun,vllm,ifeval,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,prompt_level_strict_acc,0.829945,0.016167,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-2026-05-15-rerun,vllm,ifeval,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,inst_level_strict_acc,0.876499,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-2026-05-15-rerun,vllm,ifeval,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,prompt_level_loose_acc,0.863216,0.014787,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-2026-05-15-rerun,vllm,ifeval,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,inst_level_loose_acc,0.898082,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-thinking-on-smoke-2026-05-15,vllm,humaneval-plus,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,pass@1/extract_code,0.950000,0.050000,20,"{""n_samples"": 20, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-thinking-on-smoke-2026-05-15,vllm,ifeval,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,prompt_level_strict_acc,0.850000,0.081918,20,"{""n_samples"": 20, ""task_id"": ""ifeval_chat""}"
<CAMPAIGN>-thinking-on-smoke-2026-05-15,vllm,ifeval,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,inst_level_strict_acc,0.866667,,20,"{""n_samples"": 20, ""task_id"": ""ifeval_chat""}"
<CAMPAIGN>-thinking-on-smoke-2026-05-15,vllm,ifeval,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,prompt_level_loose_acc,0.800000,0.091766,20,"{""n_samples"": 20, ""task_id"": ""ifeval_chat""}"
<CAMPAIGN>-thinking-on-smoke-2026-05-15,vllm,ifeval,openai/QuantTrio/Qwen3-235B-A22B-Thinking-2507-AWQ,inst_level_loose_acc,0.833333,,20,"{""n_samples"": 20, ""task_id"": ""ifeval_chat""}"
<CAMPAIGN>-qwen36-27b-fp8,vllm,bigcodebench-hard,Qwen/Qwen3.6-27B-FP8,pass@1_calibrated,0.033784,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
<CAMPAIGN>-qwen36-27b-fp8,vllm,humaneval-plus,openai/Qwen/Qwen3.6-27B-FP8,pass@1/extract_code,0.695122,0.036058,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-qwen36-27b-fp8,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,prompt_level_strict_acc,0.292052,0.019567,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-27b-fp8,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,inst_level_strict_acc,0.428058,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-27b-fp8,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,prompt_level_loose_acc,0.295749,0.019639,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-27b-fp8,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,inst_level_loose_acc,0.434053,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-62l-2026-05-11,vllm,bigcodebench-hard,Qwen/Qwen3.6-27B-FP8,pass@1_calibrated,0.304054,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
<CAMPAIGN>-qwen36-62l-2026-05-11,vllm,humaneval-plus,openai/Qwen/Qwen3.6-27B-FP8,pass@1/extract_code,1.000000,0.000000,5,"{""n_samples"": 5, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-qwen36-62l-2026-05-11,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,prompt_level_strict_acc,1.000000,0.000000,5,"{""n_samples"": 5, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-62l-2026-05-11,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,inst_level_strict_acc,1.000000,,5,"{""n_samples"": 5, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-62l-2026-05-11,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,prompt_level_loose_acc,1.000000,0.000000,5,"{""n_samples"": 5, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-62l-2026-05-11,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,inst_level_loose_acc,1.000000,,5,"{""n_samples"": 5, ""task_id"": ""ifeval""}"
<CAMPAIGN>-retry,vllm,bigcodebench-hard,Qwen/Qwen3.6-27B-FP8,pass@1_calibrated,0.135135,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
<CAMPAIGN>-retry,vllm,humaneval-plus,openai/Qwen/Qwen3.6-27B-FP8,pass@1/extract_code,0.878049,0.025631,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-retry,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,prompt_level_strict_acc,0.861368,0.014871,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-retry,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,inst_level_strict_acc,0.906475,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-retry,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,prompt_level_loose_acc,0.898336,0.013005,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-retry,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,inst_level_loose_acc,0.934053,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-retry-smoke,vllm,humaneval-plus,openai/Qwen/Qwen3.6-27B-FP8,pass@1/extract_code,1.000000,0.000000,10,"{""n_samples"": 10, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-retry-smoke,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,prompt_level_strict_acc,0.900000,0.100000,10,"{""n_samples"": 10, ""task_id"": ""ifeval""}"
<CAMPAIGN>-retry-smoke,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,inst_level_strict_acc,0.944444,,10,"{""n_samples"": 10, ""task_id"": ""ifeval""}"
<CAMPAIGN>-retry-smoke,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,prompt_level_loose_acc,1.000000,0.000000,10,"{""n_samples"": 10, ""task_id"": ""ifeval""}"
<CAMPAIGN>-retry-smoke,vllm,ifeval,openai/Qwen/Qwen3.6-27B-FP8,inst_level_loose_acc,1.000000,,10,"{""n_samples"": 10, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-35b-a3b-fp8-2026-05-12,vllm,bigcodebench-hard,Qwen/Qwen3.6-35B-A3B-FP8,pass@1_calibrated,0.324324,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
<CAMPAIGN>-qwen36-35b-a3b-fp8-2026-05-12,vllm,humaneval-plus,openai/Qwen/Qwen3.6-35B-A3B-FP8,pass@1/extract_code,0.871951,0.026172,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-qwen36-35b-a3b-fp8-2026-05-12,vllm,ifeval,openai/Qwen/Qwen3.6-35B-A3B-FP8,prompt_level_strict_acc,0.826248,0.016305,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-35b-a3b-fp8-2026-05-12,vllm,ifeval,openai/Qwen/Qwen3.6-35B-A3B-FP8,inst_level_strict_acc,0.881295,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-35b-a3b-fp8-2026-05-12,vllm,ifeval,openai/Qwen/Qwen3.6-35B-A3B-FP8,prompt_level_loose_acc,0.870610,0.014443,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-qwen36-35b-a3b-fp8-2026-05-12,vllm,ifeval,openai/Qwen/Qwen3.6-35B-A3B-FP8,inst_level_loose_acc,0.912470,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,bigcodebench-hard,nvidia/Gemma-4-31B-IT-NVFP4,pass@1_calibrated,0.290541,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,humaneval-plus,openai/nvidia/Gemma-4-31B-IT-NVFP4,pass@1/extract_code,1.000000,0.000000,5,"{""n_samples"": 5, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,humaneval-plus,openai/nvidia/Gemma-4-31B-IT-NVFP4,pass@1/extract_code,0.914634,0.021886,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,prompt_level_strict_acc,0.800000,0.200000,5,"{""n_samples"": 5, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,inst_level_strict_acc,0.875000,,5,"{""n_samples"": 5, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,prompt_level_loose_acc,0.800000,0.200000,5,"{""n_samples"": 5, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,inst_level_loose_acc,0.875000,,5,"{""n_samples"": 5, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,prompt_level_strict_acc,0.896488,0.013109,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,inst_level_strict_acc,0.929257,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,prompt_level_loose_acc,0.914972,0.012003,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma31-2026-05-11,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,inst_level_loose_acc,0.943645,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma4-31b-it-nvfp4,vllm,bigcodebench-hard,nvidia/Gemma-4-31B-IT-NVFP4,pass@1_calibrated,0.304054,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
<CAMPAIGN>-gemma4-31b-it-nvfp4,vllm,humaneval-plus,openai/nvidia/Gemma-4-31B-IT-NVFP4,pass@1/extract_code,0.914634,0.021886,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-gemma4-31b-it-nvfp4,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,prompt_level_strict_acc,0.900185,0.012899,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma4-31b-it-nvfp4,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,inst_level_strict_acc,0.931655,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma4-31b-it-nvfp4,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,prompt_level_loose_acc,0.920518,0.011640,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma4-31b-it-nvfp4,vllm,ifeval,openai/nvidia/Gemma-4-31B-IT-NVFP4,inst_level_loose_acc,0.946043,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma4-26b-a4b-nvfp4,vllm,bigcodebench-hard,nvidia/Gemma-4-26B-A4B-NVFP4,pass@1_calibrated,0.263514,,,"{""failed_tasks_count"": 148, ""gt_pass_rate"": 0.0, ""split"": ""instruct"", ""subset"": ""hard""}"
<CAMPAIGN>-gemma4-26b-a4b-nvfp4,vllm,humaneval-plus,openai/nvidia/Gemma-4-26B-A4B-NVFP4,pass@1/extract_code,0.914634,0.021886,164,"{""n_samples"": 164, ""task_id"": ""humaneval_plus_chat""}"
<CAMPAIGN>-gemma4-26b-a4b-nvfp4,vllm,ifeval,openai/nvidia/Gemma-4-26B-A4B-NVFP4,prompt_level_strict_acc,0.889094,0.013513,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma4-26b-a4b-nvfp4,vllm,ifeval,openai/nvidia/Gemma-4-26B-A4B-NVFP4,inst_level_strict_acc,0.923261,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma4-26b-a4b-nvfp4,vllm,ifeval,openai/nvidia/Gemma-4-26B-A4B-NVFP4,prompt_level_loose_acc,0.907579,0.012463,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
<CAMPAIGN>-gemma4-26b-a4b-nvfp4,vllm,ifeval,openai/nvidia/Gemma-4-26B-A4B-NVFP4,inst_level_loose_acc,0.937650,,541,"{""n_samples"": 541, ""task_id"": ""ifeval""}"
